timestamp,price
2025-07-07T16:28:16.270268200+09:00,0.172823
2025-07-07T16:28:46.264320600+09:00,0.172823
2025-07-07T16:29:16.270646500+09:00,0.172823
2025-07-07T16:29:46.266322500+09:00,0.17285
2025-07-07T16:30:16.272501800+09:00,0.17285
2025-07-07T16:41:30.976539+09:00,0.173119
2025-07-07T16:42:00.980617600+09:00,0.173119
2025-07-07T16:42:30.973074200+09:00,0.173119
2025-07-07T16:43:00.976336900+09:00,0.173114
2025-07-07T16:43:30.972617+09:00,0.173114
2025-07-07T16:44:00.968396900+09:00,0.173114
2025-07-07T16:44:30.972066400+09:00,0.173127
2025-07-07T16:45:00.976399600+09:00,0.173127
2025-07-07T16:45:30.968008700+09:00,0.173127
2025-07-07T16:46:00.967908800+09:00,0.173091
2025-07-07T16:46:30.967938500+09:00,0.173091
2025-07-07T16:47:00.980230800+09:00,0.173091
2025-07-07T16:47:30.972414700+09:00,0.173183
2025-07-07T16:48:00.970924800+09:00,0.173183
2025-07-07T16:48:30.980091+09:00,0.173183
2025-07-07T16:49:00.980102400+09:00,0.173128
2025-07-07T16:49:30.977830900+09:00,0.173128
2025-07-07T16:50:00.981362300+09:00,0.173128
2025-07-07T16:50:30.966892+09:00,0.173112
2025-07-07T16:51:00.966519400+09:00,0.173112
2025-07-07T16:51:30.976153+09:00,0.173112
2025-07-07T16:52:00.978177500+09:00,0.173103
2025-07-07T16:52:30.970319+09:00,0.173103
2025-07-07T16:53:00.979144100+09:00,0.173103
2025-07-07T16:53:30.969108+09:00,0.172983
2025-07-07T16:54:00.972416600+09:00,0.172983
2025-07-07T16:54:30.970829700+09:00,0.172983
2025-07-07T16:55:00.971529500+09:00,0.172944
2025-07-07T16:55:30.972038100+09:00,0.172944
2025-07-07T16:56:00.969921500+09:00,0.172944
2025-07-07T16:56:30.975790+09:00,0.172892
2025-07-07T16:57:00.970351300+09:00,0.172892
2025-07-07T16:57:30.980998900+09:00,0.172892
2025-07-07T16:58:00.972684700+09:00,0.172938
2025-07-07T16:58:30.972560400+09:00,0.172938
2025-07-07T16:59:00.977097600+09:00,0.172938
2025-07-07T16:59:30.979202400+09:00,0.172998
2025-07-07T17:00:00.975553400+09:00,0.172998
2025-07-07T17:00:30.981096900+09:00,0.172998
2025-07-07T17:01:00.975471800+09:00,0.173048
2025-07-07T17:01:30.977970400+09:00,0.173048
2025-07-07T17:02:00.972534500+09:00,0.173048
2025-07-07T17:02:30.980612600+09:00,0.173049
2025-07-07T17:03:00.974836700+09:00,0.173049
2025-07-07T17:03:30.965841+09:00,0.173049
2025-07-07T17:04:00.970390500+09:00,0.173086
2025-07-07T17:04:30.980687200+09:00,0.173086
2025-07-07T17:05:00.973896700+09:00,0.173086
2025-07-07T17:05:30.976451600+09:00,0.173138
2025-07-07T17:06:00.975803400+09:00,0.173138
2025-07-07T17:06:30.980134100+09:00,0.173138
2025-07-07T17:07:00.973183300+09:00,0.173173
2025-07-07T17:07:30.973937800+09:00,0.173173
2025-07-07T17:08:00.976917100+09:00,0.173173
2025-07-07T17:08:30.971221200+09:00,0.173045
2025-07-07T17:09:00.970357200+09:00,0.173045
2025-07-07T17:09:30.969403500+09:00,0.173045
